,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Titulos
0,DuckTales: Remastered,PC,2013,Action,Capcom,0,10000,0,67,0,9,46
1,Resident Evil Director's Cut,PS3,2006,Action,Capcom,0,0,50000,83,0,12,170
2,Dead Rising 2: Off the Record,PC,2011,Action,Capcom,40000,20000,0,64,0,9,28
3,Bombastic,PS2,2002,Puzzle,Capcom,30000,20000,0,51,5,11,10
4,Mega Man Battle Network,GBA,2001,Role-Playing,Capcom,140000,50000,220000,82,7,4,90
5,Remember Me,PC,2013,Action,Capcom,0,50000,0,76,0,9,156
6,Street Fighter X Tekken,X360,2012,Fighting,Capcom,310000,100000,30000,42,2,20,205
7,Mega Man 3,NES,1990,Platform,Capcom,680000,100000,390000,52,4,8,82
8,Sengoku Basara 3 Utage,Wii,2011,Action,Capcom,0,0,130000,66,0,18,186
9,Mega Man X8,PS2,2004,Platform,Capcom,140000,110000,0,83,4,11,109
10,Devil May Cry 4,PS3,2008,Action,Capcom,580000,450000,340000,56,0,12,33
11,Monster Hunter Frontier Online: Forward 1,X360,2011,Role-Playing,Capcom,0,0,30000,49,7,20,127
12,Darkstalkers Resurrection,PS3,2013,Fighting,Capcom,0,0,30000,97,2,12,25
13,Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,100000,20000,0,88,7,5,110
14,Sengoku Basara 3 Utage,PS3,2011,Action,Capcom,0,0,220000,69,0,12,186
15,Mega Man & Bass,GBA,2002,Platform,Capcom,160000,60000,0,43,4,4,80
16,Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,130000,30000,60000,97,0,18,168
17,Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,0,30000,0,84,0,9,176
18,Mega Man Legends 2,PS,2000,Adventure,Capcom,170000,120000,100000,61,1,10,96
19,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,680000,140000,350000,88,4,8,39
20,God Hand,PS2,2006,Action,Capcom,0,0,70000,51,0,11,58
21,Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,80000,68,7,13,44
22,OkamiDen,DS,2010,Adventure,Capcom,210000,60000,130000,53,1,2,142
23,Resident Evil Chronicles HD,PS3,2012,Shooter,Capcom,0,0,90000,96,8,12,169
24,Neopets Puzzle Adventure,DS,2008,Puzzle,Capcom,260000,0,0,75,5,2,140
25,Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007,Fighting,Capcom,0,0,10000,58,2,11,194
26,Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,160000,92,1,4,64
27,MotoGP,Wii,2009,Racing,Capcom,50000,110000,0,86,6,18,134
28,Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom,0,0,20000,45,0,13,182
29,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,670000,430000,290000,58,0,18,181
30,Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,Fighting,Capcom,0,0,100000,63,2,18,208
31,Sengoku Basara 4: Sumeragi,PS4,2015,Action,Capcom,0,0,50000,83,0,13,188
32,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,410000,440000,720000,49,7,12,43
33,Mega Man Legacy Collection,3DS,2016,Platform,Capcom,140000,0,50000,93,4,0,95
34,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,240000,30000,1030000,92,7,14,122
35,UN Squadron,SNES,1991,Shooter,Capcom,0,0,120000,65,8,17,212
36,Ultimate Marvel vs. Capcom 3,PSV,2011,Fighting,Capcom,170000,80000,0,50,2,15,214
37,Mega Man Soccer,SNES,1993,Sports,Capcom,40000,10000,130000,42,10,17,100
38,E.X. Troopers,3DS,2012,Shooter,Capcom,0,0,70000,68,8,0,48
39,Mega Man Powered Up,PSP,2006,Platform,Capcom,120000,10000,0,69,4,14,99
40,Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,260000,63,1,2,2
41,Marvel Super Heroes,SAT,1997,Fighting,Capcom,0,0,60000,68,2,16,72
42,Ultimate Marvel vs. Capcom 3,PS3,2011,Fighting,Capcom,0,40000,40000,52,2,12,214
43,Mega Man 6,NES,1993,Platform,Capcom,280000,70000,160000,49,4,8,85
44,Sengoku Basara 2 Heroes,PS2,2007,Action,Capcom,0,0,200000,84,0,11,185
45,Harvey Birdman: Attorney at Law,PSP,2008,Adventure,Capcom,90000,0,0,44,1,14,65
46,Disney's Aladdin,SNES,1993,Platform,Capcom,940000,340000,210000,41,4,17,38
47,Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0,0,260000,60,0,10,160
48,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,190000,150000,170000,63,0,11,172
49,Resident Evil: Revelations 2,PS4,2015,Action,Capcom,130000,240000,100000,100,0,13,179
50,Maximo vs Army of Zin,PS2,2003,Platform,Capcom,100000,80000,0,86,4,11,77
51,Mega Man X6,PS,2001,Action,Capcom,140000,100000,160000,81,0,10,107
52,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2470000,830000,2870000,81,2,17,202
53,Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,270000,81,1,0,1
54,Monster Hunter Freedom 2,PS3,2011,Role-Playing,Capcom,0,0,500000,52,7,12,123
55,Mega Man Zero,GBA,2002,Platform,Capcom,220000,80000,240000,86,4,4,115
56,Mega Man Zero Collection,DS,2010,Platform,Capcom,170000,10000,110000,90,4,2,118
57,Street Fighter Alpha: Warriors' Dreams,SAT,1996,Fighting,Capcom,0,0,350000,60,2,16,198
58,Crimson Tears,PS2,2004,Role-Playing,Capcom,20000,10000,0,90,7,11,22
59,Resident Evil Zero,PC,2016,Action,Capcom,10000,10000,0,99,0,9,173
60,Resident Evil 4 HD,PS4,2016,Shooter,Capcom,40000,0,0,72,8,13,163
61,Mega Man X7,PS2,2003,Action,Capcom,220000,170000,140000,91,0,11,108
62,Resident Evil: Outbreak,PS2,2003,Action,Capcom,540000,350000,460000,100,0,11,177
63,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,0,0,20000,79,1,0,152
64,MotoGP 07,PS2,2007,Racing,Capcom,50000,40000,0,76,6,11,135
65,MotoGP 08,PS3,2008,Racing,Capcom,70000,240000,0,56,6,12,136
66,Viewtiful Joe 2,PS2,2004,Action,Capcom,100000,80000,0,71,0,11,217
67,Asura's Wrath,X360,2012,Action,Capcom,150000,60000,10000,83,0,20,3
68,Marvel vs. Capcom 2: New Age of Heroes,PS2,2002,Fighting,Capcom,310000,240000,130000,83,2,11,73
69,Biohazard: Revival Selection,PS3,2011,Action,Capcom,0,0,180000,99,0,12,7
70,Tropix,DS,2008,Puzzle,Capcom,60000,0,0,64,5,2,211
71,Beat Down: Fists of Vengeance,PS2,2005,Action,Capcom,40000,30000,90000,87,0,11,5
72,Okami,PS3,2012,Action,Capcom,0,0,140000,92,0,12,141
73,Onimusha Essentials,PS2,2008,Action,Capcom,70000,50000,0,81,0,11,144
74,Mega Man 5,NES,1992,Platform,Capcom,390000,70000,320000,56,4,8,84
75,Dino Crisis,PS,1998,Action,Capcom,810000,760000,700000,98,0,10,35
76,Onimusha: Dawn of Dreams,PS2,2006,Action,Capcom,150000,120000,340000,92,0,11,147
77,Mega Man ZX,DS,2006,Platform,Capcom,160000,0,100000,89,4,2,113
78,Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,310000,170000,70000,96,8,12,71
79,Viewtiful Joe: Red Hot Rumble,PSP,2006,Action,Capcom,80000,0,0,93,0,14,219
80,Okami,Wii,2008,Action,Capcom,430000,90000,40000,57,0,18,141
81,We Love Golf!,Wii,2007,Sports,Capcom,190000,0,30000,64,10,18,222
82,Marvel vs. Capcom 2: New Age of Heroes,XB,2002,Fighting,Capcom,90000,30000,10000,66,2,21,73
83,Monster Hunter G,Wii,2009,Role-Playing,Capcom,0,0,250000,56,7,18,131
84,Gyakuten Saiban 2,GBA,2002,Action,Capcom,0,0,140000,67,0,4,63
85,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015,Action,Capcom,0,0,190000,70,0,0,61
86,Marvel vs. Capcom: Clash of Super Heroes,PS,1999,Fighting,Capcom,430000,300000,0,96,2,10,76
87,Wantame Fortune Channel,DS,2007,Misc,Capcom,0,0,60000,80,3,2,220
88,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom,0,0,380000,100,1,0,149
89,Resident Evil 5,X360,2009,Action,Capcom,2110000,930000,120000,89,0,20,164
90,Mega Man Maverick Hunter X,PSP,2005,Platform,Capcom,270000,10000,0,89,4,14,97
91,Dead Rising: Chop Till You Drop,Wii,2009,Action,Capcom,150000,70000,50000,57,0,18,29
92,Final Fight: Streetwise,PS2,2006,Action,Capcom,30000,20000,0,76,0,11,53
93,X-Men vs. Street Fighter,SAT,1997,Fighting,Capcom,0,0,260000,72,2,16,223
94,Beatdown: Fists of Vengeance,XB,2005,Action,Capcom,30000,10000,0,81,0,21,6
95,Viewtiful Joe,GC,2003,Action,Capcom,380000,100000,120000,98,0,5,216
96,Mega Man 4,NES,1991,Platform,Capcom,510000,90000,320000,84,4,8,83
97,Capcom vs. SNK 2 EO,XB,2003,Fighting,Capcom,80000,20000,0,86,2,21,16
98,Lost Planet 2,PC,2010,Shooter,Capcom,0,20000,0,93,8,9,69
99,Devil May Cry HD Collection,PS3,2012,Action,Capcom,420000,190000,110000,72,0,12,34
100,Neopets Puzzle Adventure,Wii,2008,Puzzle,Capcom,180000,20000,0,83,5,18,140
101,Resident Evil 3: Nemesis,GC,2003,Action,Capcom,60000,20000,0,93,0,5,161
102,Street Fighter Anniversary Collection,XB,2004,Fighting,Capcom,110000,30000,0,80,2,21,199
103,Resident Evil: Revelations,3DS,2012,Action,Capcom,300000,220000,300000,64,0,0,178
104,Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,Capcom,220000,0,220000,70,0,2,102
105,X-Men vs. Street Fighter,PS,1997,Fighting,Capcom,160000,110000,120000,51,2,10,223
106,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0,0,3440000,56,7,0,121
107,Killer7,GC,2005,Action,Capcom,120000,30000,0,65,0,5,68
108,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,440000,50000,390000,97,1,2,148
109,Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0,0,40000,91,3,2,153
110,Dead Rising,PS4,2016,Action,Capcom,20000,0,10000,50,0,13,26
111,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,Capcom,310000,40000,960000,66,7,4,92
112,Super Ghouls 'n Ghosts,GBA,2002,Platform,Capcom,50000,20000,0,96,4,4,206
113,Monster Hunter Stories,3DS,2016,Action,Capcom,0,0,280000,73,0,0,132
114,Mega Man,NES,1987,Platform,Capcom,450000,80000,270000,76,4,8,79
115,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,290000,220000,0,63,4,11,88
116,Ghost Trick: Phantom Detective,DS,2010,Adventure,Capcom,170000,70000,120000,45,1,2,56
117,Resident Evil: Revelations,WiiU,2013,Action,Capcom,70000,70000,30000,97,0,19,178
118,Mega Man X,SNES,1993,Platform,Capcom,570000,80000,500000,46,4,17,103
119,Street Fighter IV,X360,2009,Fighting,Capcom,1820000,700000,150000,62,2,20,203
120,Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,2011,Misc,Capcom,0,0,50000,87,3,0,139
121,Devil May Cry 4,PC,2008,Action,Capcom,10000,20000,0,100,0,9,33
122,Spyborgs,Wii,2009,Action,Capcom,90000,10000,0,96,0,18,195
123,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,Fighting,Capcom,0,0,120000,41,2,1,18
124,Ultimate Marvel vs. Capcom 3,X360,2011,Fighting,Capcom,0,30000,40000,90,2,20,214
125,Fate/Tiger Colosseum Upper,PSP,2008,Fighting,Capcom,0,0,60000,60,2,14,51
126,Resident Evil 6,X360,2012,Shooter,Capcom,1120000,600000,70000,64,8,20,166
127,Resident Evil: Revelations 2,PSV,2015,Action,Capcom,0,30000,70000,78,0,15,179
128,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4870000,84,7,14,124
129,Final Fight,SNES,1990,Action,Capcom,670000,170000,690000,92,0,17,52
130,Monster Hunter G,PS2,2005,Role-Playing,Capcom,0,0,230000,80,7,11,131
131,Lost Planet 3,X360,2013,Shooter,Capcom,70000,30000,10000,78,8,20,70
132,DuckTales: Remastered,WiiU,2013,Action,Capcom,60000,0,0,71,0,19,46
133,Okami,PS2,2006,Action,Capcom,110000,30000,150000,88,0,11,141
134,Resident Evil Zero,PS4,2016,Action,Capcom,100000,170000,50000,92,0,13,173
135,Dark Void,PS3,2010,Action,Capcom,180000,120000,0,70,0,12,23
136,Full House Kiss 2,PS2,2006,Adventure,Capcom,0,0,20000,73,1,11,54
137,Mega Man 8 Anniversary Collector's Edition,SAT,1997,Platform,Capcom,0,0,60000,60,4,16,87
138,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,300000,150000,30000,96,2,18,209
139,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,110000,20000,110000,62,0,2,175
140,Street Fighter V,PS4,2016,Fighting,Capcom,400000,280000,80000,60,2,13,204
141,Clock Tower 3,PS2,2002,Adventure,Capcom,100000,80000,120000,50,1,11,20
142,Monster Hunter X,3DS,2015,Action,Capcom,270000,210000,2790000,48,0,0,133
143,Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,110000,40000,0,51,2,4,197
144,Resident Evil Zero,XOne,2016,Action,Capcom,50000,20000,0,76,0,22,173
145,Dead Rising 2,X360,2010,Action,Capcom,750000,520000,90000,43,0,20,27
146,Devil May Cry,PS2,2001,Action,Capcom,1360000,860000,640000,42,0,11,31
147,Mega Man X Collection,GC,2006,Misc,Capcom,100000,30000,0,76,3,5,104
148,Mega Man X4,SAT,1997,Action,Capcom,0,0,70000,53,0,16,105
149,Sengoku Basara X,PS2,2008,Fighting,Capcom,0,0,50000,86,2,11,189
150,Final Fight: Streetwise,XB,2006,Action,Capcom,10000,0,0,86,0,21,53
151,Resident Evil 6,PS4,2016,Shooter,Capcom,60000,0,0,73,8,13,166
152,Commando,NES,1986,Action,Capcom,710000,160000,250000,87,0,8,21
153,Black Cat,PS2,2006,Action,Capcom,0,0,10000,61,0,11,9
154,Gotcha Force,GC,2003,Shooter,Capcom,10000,0,10000,61,8,5,60
155,Resident Evil 6,PC,2012,Shooter,Capcom,0,40000,0,85,8,9,166
156,Mega Man Zero 3,GBA,2004,Platform,Capcom,160000,60000,0,90,4,4,117
157,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,990000,630000,290000,87,0,11,32
158,DmC: Devil May Cry,X360,2013,Action,Capcom,260000,120000,10000,89,0,20,42
159,Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,0,0,160000,62,0,10,171
160,Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0,0,80000,40,4,4,49
161,Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom,160000,160000,130000,79,0,0,180
162,Dragon's Dogma,X360,2012,Role-Playing,Capcom,420000,230000,70000,68,7,20,43
163,Rival Schools: United By Fate,PS,1998,Fighting,Capcom,120000,80000,280000,70,2,10,183
164,Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,Capcom,0,0,30000,63,7,20,129
165,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,300000,30000,250000,44,1,2,151
166,Disney's DuckTales,NES,1989,Platform,Capcom,910000,300000,420000,42,4,8,40
167,Street Fighter IV,PS3,2009,Fighting,Capcom,2030000,1040000,580000,40,2,12,203
168,Dungeons & Dragons: Shadow over Mystara,PS3,2013,Role-Playing,Capcom,0,0,20000,55,7,12,47
169,1942,NES,1985,Shooter,Capcom,650000,140000,210000,46,8,8,0
170,Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,90000,70000,0,85,7,11,11
171,Lost Planet 3,PC,2013,Shooter,Capcom,0,40000,0,68,8,9,70
172,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1420000,510000,2100000,76,2,17,200
173,MotoGP 09/10,PS3,2010,Racing,Capcom,50000,130000,0,94,6,12,137
174,Mega Man Zero 2,GBA,2003,Platform,Capcom,180000,70000,170000,93,4,4,116
175,The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,660000,170000,350000,60,4,17,210
176,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2005,Role-Playing,Capcom,90000,30000,620000,70,7,4,93
177,Sengoku Basara: Samurai Heroes,Wii,2010,Action,Capcom,60000,10000,200000,50,0,18,191
178,Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,80000,30000,0,41,3,4,89
179,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,790000,180000,30000,42,2,20,74
180,Fate/Tiger Colosseum,PSP,2007,Fighting,Capcom,0,0,80000,72,2,14,50
181,Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom,0,0,30000,88,0,13,192
182,Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,170000,40000,400000,60,0,12,191
183,Power Stone Collection,PSP,2006,Action,Capcom,80000,0,0,74,0,14,155
184,Marvel vs. Capcom: Clash of Super Heroes,DC,1999,Fighting,Capcom,0,0,100000,76,2,1,76
185,Mega Man Battle Network: Operation Shooting Star,DS,2005,Role-Playing,Capcom,0,0,70000,98,7,2,94
186,Dino Crisis 3,XB,2003,Action,Capcom,80000,30000,30000,41,0,21,36
187,Mega Man Anniversary Collection,XB,2005,Platform,Capcom,100000,30000,0,90,4,21,88
188,Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1080000,700000,340000,44,0,11,158
189,Ultimate Ghosts 'n Goblins (JP sales),PSP,2006,Platform,Capcom,0,0,50000,65,4,14,213
190,Resident Evil: Revelations 2,X360,2015,Action,Capcom,40000,20000,0,43,0,20,179
191,Resident Evil: Revelations,PS3,2013,Action,Capcom,140000,290000,220000,76,0,12,178
192,Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom,90000,70000,0,42,7,11,110
193,Disney's Hide & Sneak,GC,2003,Action,Capcom,30000,10000,0,84,0,5,41
194,Onimusha Tactics,GBA,2003,Strategy,Capcom,60000,20000,0,43,11,4,145
195,Bionic Commando,PS3,2009,Platform,Capcom,120000,170000,10000,77,4,12,8
196,Haunting Ground,PS2,2005,Action,Capcom,30000,30000,0,91,0,11,66
197,Shadow of Rome,PS2,2005,Action,Capcom,130000,100000,0,69,0,11,193
198,Devil May Cry HD Collection,X360,2012,Action,Capcom,280000,110000,10000,58,0,20,34
199,Resident Evil: Revelations 2,PS3,2015,Action,Capcom,60000,50000,160000,86,0,12,179
200,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,550000,440000,140000,79,2,0,207
201,Monster Hunter 2,PS2,2003,Role-Playing,Capcom,0,0,630000,42,7,11,120
202,Capcom Fighting Evolution,PS2,2004,Fighting,Capcom,100000,80000,0,60,2,11,15
203,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,240000,0,310000,84,0,2,101
204,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,220000,170000,300000,81,2,11,17
205,Wantame Music Channel: Doko Demo Style,DS,2007,Misc,Capcom,0,0,130000,73,3,2,221
206,Street Fighter X Tekken,PSV,2012,Fighting,Capcom,100000,40000,10000,89,2,15,205
207,Group S Challenge,XB,2003,Racing,Capcom,20000,0,0,98,6,21,62
208,Resident Evil 5,PC,2009,Action,Capcom,10000,40000,0,50,0,9,164
209,MonHun Nikki: Poka Poka Ailu Mura G,PSP,2011,Role-Playing,Capcom,0,0,310000,79,7,14,119
210,Mega Man 64,N64,2000,Action,Capcom,140000,30000,50000,73,0,7,86
211,DmC: Devil May Cry,PS3,2013,Action,Capcom,240000,260000,190000,77,0,12,42
212,Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1090000,40000,100000,86,8,20,71
213,Resident Evil (Remake),GC,2002,Action,Capcom,630000,380000,350000,88,0,5,157
214,Resident Evil 4,Wii,2007,Action,Capcom,1320000,560000,140000,88,0,18,162
215,Bionic Commando,X360,2009,Platform,Capcom,120000,120000,10000,83,4,20,8
216,Street Fighter X Tekken,PS3,2012,Fighting,Capcom,420000,210000,100000,62,2,12,205
217,Monster Hunter Frontier Online: Season 9.0,X360,2010,Role-Playing,Capcom,0,0,40000,60,7,20,130
218,MotoGP 10/11,PS3,2011,Racing,Capcom,40000,100000,0,95,6,12,138
219,Capcom Digital Collection,X360,2012,Action,Capcom,20000,10000,0,76,0,20,14
220,MotoGP 09/10,X360,2010,Racing,Capcom,70000,90000,0,43,6,20,137
221,Maximo: Ghosts to Glory,PS2,2001,Platform,Capcom,380000,290000,0,98,4,11,78
222,Robin Hood: Defender of the Crown,XB,2003,Strategy,Capcom,20000,10000,0,61,11,21,184
223,One Piece Mansion,PS,2001,Action,Capcom,10000,10000,0,67,0,10,143
224,Dead Rising 2,XOne,2016,Action,Capcom,10000,0,0,74,0,22,27
225,Mega Man Network Transmission,GC,2003,Platform,Capcom,130000,30000,0,81,4,5,98
226,Gaist Crusher God,3DS,2014,Action,Capcom,0,0,20000,75,0,0,55
227,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993,Action,Capcom,0,0,70000,49,0,6,201
228,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,480000,240000,360000,73,0,12,176
229,Marvel vs. Capcom Origins,PS2,2006,Fighting,Capcom,110000,80000,20000,63,2,11,75
230,Disney's DuckTales,GB,1988,Platform,Capcom,820000,230000,350000,71,4,3,40
231,Steel Battalion: Line of Contact,XB,2004,Simulation,Capcom,20000,10000,0,61,9,21,196
232,Goku Makaimura Kai,PSP,2007,Platform,Capcom,0,0,10000,65,4,14,59
233,Mega Man X5,PS,2000,Platform,Capcom,300000,210000,200000,82,4,10,106
234,Resident Evil: Revelations,PC,2013,Action,Capcom,0,40000,0,65,0,9,178
235,Dino Stalker,PS2,2002,Shooter,Capcom,70000,60000,80000,43,8,11,37
236,Sengoku Basara 4,PS3,2014,Action,Capcom,0,0,270000,77,0,12,187
237,Mega Man 2,NES,1988,Action,Capcom,930000,150000,420000,42,0,8,81
238,Lost Planet 3,PS3,2013,Shooter,Capcom,70000,50000,60000,81,8,12,70
239,Mega Man Xtreme,GB,2000,Platform,Capcom,0,0,70000,65,4,3,111
240,Pocket Fighter,SAT,1998,Fighting,Capcom,0,0,30000,70,2,16,154
241,Resident Evil 5 HD,XOne,2016,Action,Capcom,20000,0,0,62,0,22,165
242,Under the Skin,PS2,2004,Action,Capcom,10000,10000,0,40,0,11,215
243,Viewtiful Joe: Double Trouble!,DS,2005,Action,Capcom,80000,0,10000,53,0,2,218
244,Mega Man Anniversary Collection,GC,2004,Platform,Capcom,320000,80000,0,70,4,5,88
245,Robin Hood: Defender of the Crown,PS2,2003,Strategy,Capcom,90000,70000,0,83,11,11,184
246,Capcom Classics Collection,PS2,2005,Misc,Capcom,220000,170000,50000,81,3,11,12
247,Capcom Classics Collection Remixed,PSP,2006,Misc,Capcom,270000,0,0,97,3,14,13
248,Onimusha: Blade Warriors,PS2,2003,Fighting,Capcom,60000,50000,0,47,2,11,146
249,Resident Evil: Dead Aim,PS2,2003,Action,Capcom,170000,130000,0,79,0,11,174
250,Harvey Birdman: Attorney at Law,Wii,2008,Adventure,Capcom,80000,0,0,73,1,18,65
251,Resident Evil 5 HD,PS4,2016,Action,Capcom,20000,0,0,66,0,13,165
252,Dragon's Dogma Online: Season 2,PS4,2016,Action,Capcom,0,0,20000,80,0,13,45
253,Resident Evil 4,PS2,2005,Action,Capcom,2080000,830000,460000,92,0,11,162
254,Resident Evil Archives: Resident Evil,Wii,2008,Action,Capcom,160000,40000,80000,77,0,18,167
255,Dark Void,PC,2010,Action,Capcom,0,10000,0,78,0,9,23
256,Dragon's Dogma Online,PS3,2015,Role-Playing,Capcom,0,0,30000,78,7,12,44
257,Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,390000,20000,850000,84,7,4,91
258,Asura's Wrath,PS3,2012,Action,Capcom,180000,120000,60000,43,0,12,3
259,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,470000,550000,4130000,63,7,14,125
260,DmC: Devil May Cry,XOne,2015,Action,Capcom,80000,40000,0,46,0,22,42
261,E.X. Troopers,PS3,2012,Shooter,Capcom,0,0,50000,79,8,12,48
262,Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Fighting,Capcom,0,0,50000,92,2,1,19
263,Resident Evil 2,GC,2003,Action,Capcom,40000,10000,0,51,0,5,159
264,Remember Me,X360,2013,Action,Capcom,100000,60000,0,53,0,20,156
265,Monster Hunter Frontier Online,X360,2010,Role-Playing,Capcom,0,0,130000,83,7,20,126
266,MotoGP 08,PS2,2008,Racing,Capcom,10000,0,0,49,6,11,136
267,Kabu Trader Shun,DS,2007,Action,Capcom,0,0,30000,89,0,2,67
268,Mega Man ZX Advent,DS,2007,Platform,Capcom,220000,0,90000,98,4,2,114
269,Resident Evil: Revelations 2,XOne,2015,Action,Capcom,70000,20000,0,45,0,22,179
270,Darkstalkers 3,PS,1998,Fighting,Capcom,110000,70000,0,79,2,10,24
271,Devil Kings,PS2,2005,Action,Capcom,30000,30000,180000,69,0,11,30
272,Auto Modellista,GC,2003,Racing,Capcom,20000,10000,0,43,6,5,4
273,Ghosts 'n Goblins,NES,1986,Action,Capcom,740000,260000,610000,86,0,8,57
274,Mega Man Xtreme 2,GB,2001,Platform,Capcom,0,0,70000,63,4,3,112
275,Resident Evil 4 HD,XOne,2016,Shooter,Capcom,20000,0,0,74,8,22,163
276,Sengoku Basara: Chronicle Heroes,PSP,2011,Action,Capcom,0,0,160000,71,0,14,190
277,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,210000,40000,260000,59,1,2,150
278,Monster Hunter Frontier Online: Forward 2,X360,2011,Role-Playing,Capcom,0,0,30000,75,7,20,128
